Component,Variance_%,Cumulative_%,Use_Case
PC1,54.71473431213657,54.71473431213657,Visualization (Primary)
PC2,20.486274851036406,75.20100916317298,Visualization (Secondary)
PC3,12.429050658880795,87.63005982205378,Better variance (90%)
PC4,5.9229662930588916,93.55302611511267,Better variance (90%)
PC5,2.5374649293921205,96.09049104450479,Better variance (90%)
PC6,1.5631378042546606,97.65362884875945,Marginal improvement
PC7,0.81819829064411,98.47182713940356,Marginal improvement
PC8,0.5700485925411647,99.04187573194473,Minimal gain
PC9,0.4760765745176759,99.5179523064624,Minimal gain
PC10,0.3107469802664707,99.82869928672888,Minimal gain
